;2側,,,,2019/5/31 9:00と2019/7/30 6:00
;ID,name,初期座標X,初期座標Y,初期座標Z,警報用測点名
1,5900,-0.0015,0.002,9.647,5900
2,590L2,0.0184,-2.4078,8.4932,590L2
3,590L10,0.1901,-10.3694,7.9282,590L10
4,590R17,-0.0517,17.3759,11.2123,590R17
5,6000,10.035,-0.6814,8.1395,6000
6,600L10,9.9973,-10.0597,8.0968,600L10
7,600R4,9.8771,3.986,8.7905,600R4
8,600R20,9.8556,20.2014,10.9244,600R20
9,6100,19.7802,0.0011,8.3487,6100
10,610R10,19.9572,9.9571,8.532,610R10
11,610R26,19.8026,26.2509,10.926,610R26
12,620R16,29.9165,16.27,8.8412,620R16
13,620R32,29.8975,32.6886,10.9688,620R32
14,630R22,40.0032,22.3632,8.7597,630R22
15,630R38,39.8417,38.7864,11.2144,630R38
16,640R28,49.86,28.7158,9.092,640R28
17,690L5,94.7639,-2.1240,9.6951,684L5
18,694R5,102.8487,6.3474,9.7081,692R5
