;ID,CH,èâä˙íl,åWêî,SW,Field,çÄñ⁄ID,Group_ID,TDS
1,100,-51,0.00283,1,1,1,1,100
2,101,-72,0.00282,1,2,1,1,101
3,102,-60,0.00283,1,3,1,1,102
4,103,-16,0.00292,1,4,1,1,103
5,104,11,0.00289,1,5,1,1,104
6,105,-32,0.00298,1,6,1,1,105
7,106,-22,0.00294,1,7,1,1,106
8,107,-29,0.00284,1,8,1,1,107
9,108,58,0.00285,1,9,1,1,108
10,109,42,0.00292,1,10,1,1,109
11,110,71,0.00297,1,11,1,1,110
12,111,88,0.00292,1,12,1,1,111
13,112,-19,0.00292,1,13,1,1,112
14,113,273,0.00286,1,14,1,1,113
15,150,100,0.00259,1,1,1,2,150
16,152,149,0.00267,1,2,1,2,152
17,154,133,0.00265,1,3,1,2,154
18,156,170,0.00264,1,4,1,2,156
19,158,98,0.00265,1,5,1,2,158
20,160,225,0.00266,1,6,1,2,160
21,162,295,0.0028,1,7,1,2,162
22,164,175,0.00272,1,8,1,2,164
23,166,196,0.0027,1,9,1,2,166
24,168,186,0.00275,1,10,1,2,168
25,170,168,0.00276,1,11,1,2,170
26,172,183,0.0028,1,12,1,2,172
27,174,227,0.00285,1,13,1,2,174
28,176,255,0.00284,1,14,1,2,176
29,151,-88,0.00261,1,1,1,3,151
30,153,14,0.0027,1,2,1,3,153
31,155,29,0.00268,1,3,1,3,155
32,157,55,0.00268,1,4,1,3,157
33,159,95,0.00272,1,5,1,3,159
34,161,148,0.00271,1,6,1,3,161
35,163,93,0.00271,1,7,1,3,163
36,165,-19,0.00273,1,8,1,3,165
37,167,-27,0.00278,1,9,1,3,167
38,169,40,0.00274,1,10,1,3,169
39,171,20,0.00277,1,11,1,3,171
40,173,14,0.0028,1,12,1,3,173
41,175,19,0.00283,1,13,1,3,175
42,177,113,0.00291,1,14,1,3,177
43,178,-208,0.00268,1,1,1,4,178
44,179,-151,0.00269,1,2,1,4,179
45,180,-173,0.00261,1,3,1,4,180
46,181,-248,0.00261,1,4,1,4,181
47,182,-251,0.0027,1,5,1,4,182
48,183,-205,0.00266,1,6,1,4,183
49,184,-191,0.00271,1,7,1,4,184
50,185,-234,0.00268,1,8,1,4,185
51,186,-268,0.00271,1,9,1,4,186
52,187,-211,0.00275,1,10,1,4,187
53,188,-166,0.00275,1,11,1,4,188
54,189,-265,0.00273,1,12,1,4,189
55,190,-223,0.0027,1,13,1,4,190
56,999,0,1,1,1,1,5,999
57,999,0,1,1,2,1,5,999
58,999,0,1,1,3,1,5,999
59,999,0,1,1,4,1,5,999
60,999,0,1,1,5,1,5,999
61,999,0,1,1,6,1,5,999
62,999,0,1,1,7,1,5,999
63,999,0,1,1,8,1,5,999
64,999,0,1,1,9,1,5,999
65,999,0,1,1,10,1,5,999
66,999,0,1,1,11,1,5,999
67,999,0,1,1,12,1,5,999
68,999,0,1,1,13,1,5,999
69,191,965,0.00582,1,1,2,1,191
70,192,626,0.00498,1,2,2,1,192
71,120,-1094,-0.814,1,1,3,6,120
72,122,1547,-0.816,1,2,3,6,122
73,200,-740,-0.806,1,3,3,6,200
74,202,-156,-0.816,1,4,3,6,202
75,123,-612,-0.817,1,5,3,6,123
76,125,1589,-0.814,1,6,3,6,125
77,203,-1525,-0.817,1,7,3,6,203
78,205,-559,-0.816,1,8,3,6,205
79,126,0,1,1,9,3,6,126
80,128,0,1,1,10,3,6,128
81,206,0,1,1,11,3,6,206
82,208,0,1,1,12,3,6,208
83,129,0,1,1,13,3,6,129
84,131,0,1,1,14,3,6,131
85,209,0,1,1,15,3,6,209
86,211,0,1,1,16,3,6,211
87,132,0,1,1,17,3,6,132
88,134,0,1,1,18,3,6,134
89,212,0,1,1,19,3,6,212
90,214,0,1,1,20,3,6,214
91,121,-349,0.0199,1,1,4,7,121
92,201,-553,0.0199,1,2,4,7,201
93,124,-921,0.0199,1,3,4,7,124
94,204,-397,0.0199,1,4,4,7,204
95,127,0,0.0199,1,5,4,7,127
96,207,0,0.0199,1,6,4,7,207
97,130,0,0.0199,1,7,4,7,130
98,210,0,0.0199,1,8,4,7,210
99,133,0,0.0199,1,9,4,7,133
100,213,0,0.0199,1,10,4,7,213
101,140,0,1,1,101,5,1,140
102,141,1333,0.0114,1,1,2,2,141
