;ID,段,No,In,Out,T,ヤング率,SI単位換算,断面積,初期温度,温度係数,名称,計器,L3P,L3M,L2P,L2M,L1P,L1M
1,1,1,120,122,91,2.1,9.80665,118.5,12.2,6.5477,A-1,A-1,999999,-999999,459,-999999,229,-999999
2,1,2,200,202,92,2.1,9.80665,118.5,12.2,6.5477,A-2,A-2,999999,-999999,459,-999999,229,-999999
3,2,1,123,125,93,2.1,9.80665,171.9,12.2,6.5477,A-3,A-3,999999,-999999,459,-999999,229,-999999
4,2,2,203,205,94,2.1,9.80665,171.9,12.2,6.5477,A-4,A-4,999999,-999999,459,-999999,229,-999999
5,3,1,9,10,95,2.1,9.80665,218.7,12.2,6.5477,B-1,B-1,999999,-999999,459,-999999,229,-999999
6,3,2,11,12,96,2.1,9.80665,218.7,12.2,6.5477,B-2,B-2,999999,-999999,459,-999999,229,-999999
7,4,1,13,14,97,2.1,9.80665,218.7,12.2,6.5477,B-3,B-3,999999,-999999,459,-999999,229,-999999
8,4,2,15,16,98,2.1,9.80665,218.7,12.2,6.5477,B-4,B-4,999999,-999999,459,-999999,229,-999999
9,5,1,17,18,99,2.1,9.80665,218.7,12.2,6.5477,B-5,B-5,999999,-999999,459,-999999,229,-999999
10,5,2,19,20,100,2.1,9.80665,218.7,12.2,6.5477,C-1,C-1,999999,-999999,459,-999999,229,-999999
