;ID    ,Field     ,çÄñ⁄ID     ,Group_ID     ,TDS CH     ,SW     ,èâä˙íl     ,åWêî
1      ,1         ,1          ,1            ,10         ,1      ,1524       ,0.536
2      ,2         ,1          ,1            ,11         ,1      ,563        ,0.536
3      ,3         ,1          ,1            ,12         ,1      ,1049       ,0.536
4      ,4         ,1          ,1            ,13         ,1      ,1310       ,0.536
5      ,5         ,1          ,1            ,14         ,1      ,-1220      ,0.529
6      ,6         ,1          ,1            ,15         ,1      ,163        ,0.529
7      ,7         ,1          ,1            ,16         ,1      ,-1442      ,0.529
8      ,8         ,1          ,1            ,17         ,1      ,-506       ,0.529
9      ,9         ,1          ,1            ,18         ,1      ,-3         ,0.472
10     ,10        ,1          ,1            ,19         ,1      ,2740       ,0.472
11     ,11        ,1          ,1            ,20         ,1      ,1318       ,0.473
12     ,12        ,1          ,1            ,21         ,1      ,1118       ,0.473
13     ,1         ,1          ,2            ,60         ,1      ,0          ,0.00467
14     ,2         ,1          ,2            ,61         ,1      ,30         ,0.00435
15     ,3         ,1          ,2            ,62         ,1      ,70         ,0.0046
16     ,4         ,1          ,2            ,63         ,1      ,-20        ,0.00448
17     ,5         ,1          ,2            ,64         ,1      ,-30        ,0.00428
18     ,6         ,1          ,2            ,65         ,1      ,0          ,4
19     ,7         ,1          ,2            ,66         ,1      ,0          ,4
20     ,8         ,1          ,2            ,67         ,1      ,2242       ,0.83223
21     ,9         ,1          ,2            ,68         ,1      ,-1221      ,0.82109
22     ,10        ,1          ,2            ,69         ,1      ,-203       ,0.82192
23     ,11        ,1          ,2            ,70         ,1      ,455        ,0.83699
24     ,12        ,1          ,2            ,71         ,1      ,1548       ,0.83883
25     ,1         ,1          ,3            ,110        ,1      ,-859       ,0.83782
26     ,2         ,1          ,3            ,111        ,1      ,-27        ,0.82782
27     ,3         ,1          ,3            ,112        ,1      ,2787       ,0.83485
28     ,4         ,1          ,3            ,113        ,1      ,-178       ,0.02017
29     ,5         ,1          ,3            ,114        ,1      ,-535       ,0.02
30     ,6         ,1          ,3            ,115        ,1      ,-325       ,0.02006
31     ,7         ,1          ,3            ,116        ,1      ,-556       ,0.01997
32     ,8         ,1          ,3            ,117        ,1      ,116        ,0.00283
33     ,9         ,1          ,3            ,118        ,1      ,-101       ,-0.00284
34     ,10        ,1          ,3            ,119        ,1      ,69         ,0.0028
35     ,11        ,1          ,3            ,120        ,1      ,-33        ,-0.00282
36     ,12        ,1          ,3            ,121        ,1      ,82         ,0.00283
37     ,1         ,1          ,4            ,160        ,1      ,-55        ,-0.00289
38     ,2         ,1          ,4            ,161        ,1      ,121        ,0.00281
39     ,3         ,1          ,4            ,162        ,1      ,1291       ,-0.821
40     ,4         ,1          ,4            ,163        ,1      ,3831       ,-0.824
41     ,5         ,1          ,4            ,164        ,1      ,-553       ,0.0193
42     ,6         ,1          ,4            ,165        ,1      ,-904       ,0.0194
43     ,7         ,1          ,4            ,166        ,1      ,303        ,0.00289
44     ,8         ,1          ,4            ,167        ,1      ,-289       ,-0.00288
45     ,9         ,1          ,4            ,168        ,1      ,315        ,0.00284
46     ,10        ,1          ,4            ,169        ,1      ,-203       ,-0.00289
47     ,11        ,1          ,4            ,170        ,1      ,363        ,0.00291
48     ,12        ,1          ,4            ,171        ,1      ,-146       ,-0.00283
49     ,49        ,2          ,1            ,1          ,1      ,259        ,0.00289
