                     屋根変位計測データシート

        日時                1       2       3       4       5       6       7
  2001/03/01 00:00:00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
  2001/03/02 00:00:00  330.11  330.00  330.08  330.22  330.03  330.06  330.12
  2001/03/03 00:00:00  330.68  330.31  330.48  330.41  330.28  330.31  330.12
  2001/03/04 00:00:00  331.27  330.83  331.00  330.87  330.64  330.66  330.22
  2001/03/05 00:00:00  331.65  331.00  331.24  331.03  330.81  330.84  330.14
  2001/03/06 00:00:00  331.92  331.24  331.52  331.42  331.12  331.04  330.22
  2001/03/07 00:00:00  332.29  331.55  331.75  332.29  331.10  331.13  330.11
  2001/03/08 00:00:00  332.40  331.93  332.17  331.74  331.53  331.49  330.09
  2001/03/09 00:00:00  332.52  332.12  332.45  332.09  331.76  331.76  330.37
  2001/03/10 00:00:00  332.92  332.05  332.71  332.26  331.95  331.88  330.27
  2001/03/11 00:00:00  332.99  332.62  333.01  332.53  332.26  332.13  330.35
  2001/03/12 00:00:00  333.24  332.79  333.33  332.70  332.56  332.36  330.51
  2001/03/13 00:00:00  333.54  332.89  333.51  333.00  332.79  332.54  330.42
  2001/03/14 00:00:00  333.83  333.19  333.90  333.33  333.15  332.87  330.68
  2001/03/15 00:00:00  334.05  333.38  334.18  333.57  333.43  333.10  330.59
  2001/03/16 00:00:00  334.35  333.67  334.48  333.74  333.83  333.51  330.68
  2001/03/17 00:00:00  334.64  333.93  334.76  334.14  334.06  333.62  330.68
  2001/03/18 00:00:00  334.73  334.03  334.98  334.33  334.25  333.83  330.62
  2001/03/19 00:00:00  335.03  334.25  335.22  334.59  334.50  334.14  330.79
  2001/03/20 00:00:00  335.28  334.46  335.38  334.75  334.80  334.32  330.75
  2001/03/21 00:00:00  335.37  334.56  335.56  334.85  334.94  334.32  330.77
  2001/03/22 00:00:00  335.71  334.91  335.95  335.23  335.33  334.78  331.23
  2001/03/23 00:00:00  335.78  334.99  336.01  335.38  335.49  334.92  331.23
  2001/03/24 00:00:00  335.87  335.06  336.09  335.36  335.54  334.96  331.27
  2001/03/25 00:00:00  335.85  334.99  336.05  335.29  335.54  334.91  331.23
  2001/03/26 00:00:00  335.89  335.11  336.23  335.38  335.71  335.07  331.55
  2001/03/27 00:00:00  335.98  335.27  336.09  335.44  335.77  335.10  331.62
  2001/03/28 00:00:00  336.09  335.22  336.33  335.68  335.77  335.14  331.53
  2001/03/29 00:00:00  336.10  335.11  336.35  335.59  335.75  335.35  331.44
  2001/03/30 00:00:00  335.96  335.29  336.35  335.68  335.71  335.25  331.40
  2001/03/31 00:00:00  336.07  335.30  336.51  335.70  336.00  335.35  331.33
  2001/04/01 00:00:00  335.98  335.22  336.35  335.70  335.89  335.23  331.20
  2001/04/02 00:00:00  336.09  335.30  336.39  335.66  335.89  335.30  331.42
